"berichtsjahr";"tourismusjahr";"saison";"monat";"gkz";"gemeinde";"hauptgliederung";"status";"ankuenfte";"naechtigungen"
1984;1985;"Winter";11;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";16;28
1984;1985;"Winter";11;80101;"Bartholomäberg";"Privatquartiere";"endgültig";27;99
1984;1985;"Winter";12;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";108;764
1984;1985;"Winter";12;80101;"Bartholomäberg";"Privatquartiere";"endgültig";722;5587
1984;1985;"Winter";12;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";147;944
1985;1985;"Winter";1;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";369;2524
1985;1985;"Winter";1;80101;"Bartholomäberg";"Privatquartiere";"endgültig";623;3703
1985;1985;"Winter";1;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";179;1514
1985;1985;"Winter";2;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";430;2457
1985;1985;"Winter";2;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1249;7214
1985;1985;"Winter";2;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";180;1539
1985;1985;"Winter";3;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";512;2978
1985;1985;"Winter";3;80101;"Bartholomäberg";"Privatquartiere";"endgültig";755;4937
1985;1985;"Winter";3;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";64;681
1985;1985;"Winter";4;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";337;1602
1985;1985;"Winter";4;80101;"Bartholomäberg";"Privatquartiere";"endgültig";716;5226
1985;1985;"Winter";4;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";149;1222
1985;1985;"Sommer";5;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";46;294
1985;1985;"Sommer";5;80101;"Bartholomäberg";"Privatquartiere";"endgültig";206;1276
1985;1985;"Sommer";5;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";9;135
1985;1985;"Sommer";6;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";220;1433
1985;1985;"Sommer";6;80101;"Bartholomäberg";"Privatquartiere";"endgültig";436;3408
1985;1985;"Sommer";7;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";398;2956
1985;1985;"Sommer";7;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1292;12845
1985;1985;"Sommer";7;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";234;2267
1985;1985;"Sommer";8;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";606;3643
1985;1985;"Sommer";8;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1271;14489
1985;1985;"Sommer";8;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";146;1597
1985;1985;"Sommer";9;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";382;2642
1985;1985;"Sommer";9;80101;"Bartholomäberg";"Privatquartiere";"endgültig";500;5463
1985;1985;"Sommer";9;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";56;570
1985;1985;"Sommer";10;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";148;460
1985;1985;"Sommer";10;80101;"Bartholomäberg";"Privatquartiere";"endgültig";107;907
1985;1985;"Sommer";10;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";123;924
1985;1986;"Winter";11;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";3;15
1985;1986;"Winter";11;80101;"Bartholomäberg";"Privatquartiere";"endgültig";21;162
1985;1986;"Winter";11;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";2;16
